html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,locations.geonames_id
https://github.com/ror-community/ror-updates/issues/13199,https://ror.org/041twcm28,replace==Leonardo (United States),,,"add==Leonardo Finmeccanica; Leonardo DRS; Finmeccanica North America DRS; Diagnostic/Retrieval Systems, Inc*en; DRS Technologies, Inc.*en",replace==Leonardo United States,,replace==https://usa.leonardo.com,replace==https://en.wikipedia.org/wiki/Leonardo_DRS,,,,,,,,,add==Q112038007,replace==Q112038007,
https://github.com/ror-community/ror-updates/issues/13198,https://ror.org/035k4m812,replace==S. M. Kirov Military Medical Academy*en,,,add==Kirov Military Medical Academy*en; S. M. Kirov Military Medical Academy of the Russian Defense Ministry*en; Kirov Military Medical Academy of the Russian Defense Ministry*en,replace==S. M. Kirov Military Medical Academy*en,,replace==https://www.vmeda.org,,add==vmeda.org,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13196,https://ror.org/05mhxe367,replace==Beethoven-Haus Bonn*de,,,replace==Beethoven-Haus*de; Beethoven House Bonn*en; Beethoven House*en,replace==Beethoven-Haus Bonn*de,,replace==https://www.beethoven.de,,add==beethoven.de,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13217,https://ror.org/02y5f7327,,replace==inactive,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13218,https://ror.org/05jt6pc28,,replace==inactive,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13219,https://ror.org/00v5nyn36,,replace==inactive,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13231,https://ror.org/01ktn5v16,,,,,,,,,,,,,,,,,add==Q25449885,replace==Q25449885,
https://github.com/ror-community/ror-updates/issues/13237,https://ror.org/03efxn362,,,,,,,replace==https://www.uv.mx,,add==uv.mx,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13243,https://ror.org/03dgybn05,,replace==inactive,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13244,https://ror.org/036ak4h42,,,,replace==Agentura ochrany přírody a krajiny ČR*cs,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13245,https://ror.org/04nnvgw25,,,,delete==Institut pro Evropskou Politiku EUROPEUM je neziskový*cs;add==Institut pro evropskou politiku EUROPEUM*cs,,,,,,,,,,,,,,,
