html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id,ror_id,parent,child,related,successor,predecessor
,,"Tianjin College, University of Science and Technology Beijing*en",,education,,"北京科技大学天津学院*zh; Tianjin College, University of Science and Technology Beijing*en",,https://tj.ustb.edu.cn,,tj.ustb.edu.cn,2005,,,,,,,Q97346743,Q97346743,Tianjin,China,1792947,,,,,,
,,Tianjin University of Finance and Economics Pearl River College*en,,education,,天津财经大学珠江学院*zh; Tianjin University of Finance and Economics Pearl River College*en,,https://zhujiang.tjufe.edu.cn,,zhujiang.tjufe.edu.cn,2006,,,,,,,Q97346741,Q97346741,Baodi,China,1816976,,https://ror.org/05ev1jb90,,,,
,,Tianjin Police College*en,,education,天津公安警官职业学院; Tianjin Public Security Profession College,天津警察学院*zh; Tianjin Police College*en,,https://www.tjjingyuan.cn/,,tjjingyuan.cn,1949,,,,,,,Q10939960,Q10939960,Tianjin,China,1792947,,,,,,
,,Tianjin Coastal Polytechnic*en,,education,,天津滨海职业学院*zh; Tianjin Coastal Polytechnic*en,,https://www.tjbpi.com/,,tjbpi.com,1958,,,,,,,Q112676125,Q112676125,Tianjin,China,1792947,,,,,,
,,Tianjin Engineering Technical Institute*en,,education,,天津工程职业技术学院*zh; Tianjin Engineering Technical Institute*en,,,,,,,,,,,,Q112676126,Q112676126,Tianjin,China,1792947,,,,,,
,,Tianjin Bohai Vocational Technical College*en,,education,,天津渤海职业技术学院*zh; Tianjin Bohai Vocational Technical College*en,,https://www.tbvtc.edu.cn/,,tbvtc.edu.cn,1958,,,,,,,Q112676127,Q112676127,Tianjin,China,1792947,,,,,,
,,Tianjin Electronic Information College*en,,education,,天津电子信息职业技术学院*zh; Tianjin Electronic Information College*en,,http://www.tjdz.edu.cn/,,tjdz.edu.cn,1953,,,,,,,Q112676129,Q112676129,Tianjin,China,1792947,,,,,,
,,Tianjin Vocational College of Mechanics and Electricity*en,,education,,天津机电职业技术学院*zh; Tianjin Vocational College of Mechanics and Electricity*en,,https://www.tjvcme.edu.cn/,,tjvcme.edu.cn,,,,,,,,Q112676130,Q112676130,Tianjin,China,1792947,,,,,,
,,Tianjin Modern Vocational Technology College*en,,education,,天津现代职业技术学院*zh; Tianjin Modern Vocational Technology College*en,,https://www.xdxy.com.cn/,,xdxy.com.cn,1956,,,,,,,Q112676131,Q112676131,Tianjin,China,1792947,,,,,,
,,Tianjin Light Industry Vocational Technical College*en,,education,,天津轻工职业技术学院*zh; Tianjin Light Industry Vocational Technical College*en,,https://www.tjlivtc.edu.cn,,tjlivtc.edu.cn,,,,,,,,Q112676132,Q112676132,Tianjin,China,1792947,,,,,,
,,Tianjin College of Commerce*en,,education,,天津商务职业学院*zh; Tianjin College of Commerce*en,,https://www.tcc1955.edu.cn/,,tcc1955.edu.cn,,,,,,,,Q112676133,Q112676133,天津市,China,1792947,,,,,,
,,Tianjin Land Resources and House Vocational College*en,,education,,天津国土资源和房屋职业学院*zh; Tianjin Land Resources and House Vocational College*en,,http://www.tjgfxy.com.cn/,,tjgfxy.com.cn,1973,,,,,,,Q112676134,Q112676134,Tianjin,China,1792947,,,,,,
,,Tianjin Medical College*en,,education,,天津医学高等专科学校*zh; Tianjin Medical College*en,,https://www.tjyzh.cn,,tjyzh.cn,1908,,,,,,,Q112676135,Q112676135,Tianjin,China,1792947,,,,,,
,,TEDA Polytechnic*en,,education,,天津开发区职业技术学院*zh; TEDA Polytechnic*en,,,,,2002,,,,,,,Q10940201,Q10940201,Tianjin,China,1792947,,,,,https://ror.org/018rbtf37,
,,Tianjin Art Vocational College*en,,education,天艺学院,天津艺术职业学院*zh; Tianjin Art Vocational College*en,,https://www.arttj.cn,,arttj.cn,2002,,,,,,,Q112676136,Q112676136,Tianjin,China,1792947,,,,,,
,,Tianjin Transportation Vocational College*en,,education,,天津交通职业学院*zh; Tianjin Transportation Vocational College*en,,https://www.tttc.edu.cn,,tttc.edu.cn,2002,,,,,,,Q112676137,Q112676137,Tianjin,China,1792947,,,,,,
,,Tianjin Petroleum Vocational and Technical College*en,,education,华北石油学校,天津石油职业技术学院*zh; Tianjin Petroleum Vocational and Technical College*en,,http://www.tjsyxy.com,,tjsyxy.com,1976,,,,,,,Q15910052,Q15910052,Tianjin,China,1792947,,,,,,
,,Tianjin City Vocational College*en,,education,,天津城市职业学院*zh; Tianjin City Vocational College*en,,,,,,,,,,,,Q112676139,Q112676139,Tianjin,China,1792947,,,,,,
,,Tianjin Railway Technical and Vocational College*en,,education,,天津铁道职业技术学院*zh; Tianjin Railway Technical and Vocational College*en,,http://www.tjtdxy.cn,,tjtdxy.cn,,,,,,,,Q112676140,Q112676140,Tianjin,China,1792947,,,,,,
,,Tianjin Arts and Crafts Vocational College*en,,education,Tianjin Crafts and Arts Professional College; Tianjin Crafts and Arts Vocational College,天津工艺美术职业学院*zh; Tianjin Arts and Crafts Vocational College*en,,http://www.gmtj.com/,,gmtj.com,1959,,,,,,,Q7800188,Q7800188,Tianjin,China,1792947,,,,,,
,,Tianjin Urban Construction Management & Vocation Technology College*en,,education,,天津城市建设管理职业技术学院*zh; Tianjin Urban Construction Management & Vocation Technology College*en,,https://www.tjchengjian.com,,tjchengjian.com,2006,,,,,0000 0004 4655 6397,0000 0004 4655 6397,Q112676142,Q112676142,Tianjin,China,1792947,,,,https://ror.org/03hmm9666,,
