html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id,parent_relationships,comment
,https://ror.org/05x24c339,Unidade Local de Saúde do Norte Alentejano EPE*pt,active,healthcare,,Unidade Local de Saúde do Norte Alentejano EPE*pt,ULSNA*pt,https://www.ulsna.min-saude.pt,,ulsna.min-saude.pt,,,,,,0000 0004 5914 0809,0000 0004 5914 0809,,,Portalegre,Portugal,2264507,,
,https://ror.org/0328djp07,Unidade Local de Saúde do Oeste*pt,active,healthcare,,Unidade Local de Saúde do Oeste*pt,,https://www.choeste.min-saude.pt,,choeste.min-saude.pt,,,,,,0000 0005 1445 3235,0000 0005 1445 3235,Q124812826,Q124812826,Caldas da Rainha,Portugal,2270437,,
,https://ror.org/05h34sh86,Unidade Local de Saúde Gaia/Espinho*pt,active,healthcare,,Unidade Local de Saúde Gaia/Espinho*pt,,https://www.ulsge.min-saude.pt,,ulsge.min-saude.pt,,,,,,0000 0005 1445 0675,0000 0005 1445 0675,,,Vila Nova de Gaia,Portugal,2732544,,
,https://ror.org/0300gbr82,Unilabs (Portugal)*pt,active,company,,Unilabs (Portugal)*pt,,https://www.unilabs.pt,,unilabs.pt,,,,,,0000 0004 7480 3535,0000 0004 7480 3535,,,Porto,Portugal,2735943,,
,https://ror.org/01w6ghb32,Unilever FIMA (Portugal)*pt;,active,company,Unilever Jerónimo Martins*pt,Unilever FIMA (Portugal)*pt;,,https://www.unilever-fima.com,,unilever-fima.com,,,,,,0000 0004 0454 3897,0000 0004 0454 3897,,,Lisboa,Portugal,2267057,,
,https://ror.org/029frk090,Centro de Estudos das Migrações e das Relações Interculturais*pt,active,education,Universidade Aberta Centro de Estudos das Migrações e das Relações Interculturais*pt,Centro de Estudos das Migrações e das Relações Interculturais*pt,CEMRI*pt,https://cemri.uab.pt,,cemri.uab.pt,,,,,,0000 0001 1959 7781,0000 0001 1959 7781,,,Lisboa,Portugal,2267057,https://ror.org/02rv3w387,
,https://ror.org/03k0aef63,Centro de Estudos Globais*pt,active,education,Universidade Aberta Centro de Estudos Globais*pt,Centro de Estudos Globais*pt,CEG*pt,https://ceg.uab.pt,,ceg.uab.pt,,,,,,0000 0005 0832 0807,0000 0005 0832 0807,,,Lisboa,Portugal,2267057,https://ror.org/02rv3w387,
,https://ror.org/009gp5h03,Unidade Móvel de Investigação em Estudos do Local*pt,active,education,Universidade Aberta Unidade Móvel de Investigação em Estudos do Local*pt,Unidade Móvel de Investigação em Estudos do Local*pt,ELO*pt,,,,,,,,,0000 0004 6419 8319,0000 0004 6419 8319,,,Lisboa,Portugal,2267057,https://ror.org/02rv3w387,"Active, Website not loading"
,https://ror.org/05w0yf696,Observatório de Relações Exteriores*pt,active,education,Universidade Autónoma de Lisboa Observatório de Relações Exteriores*pt,Observatório de Relações Exteriores*pt,OBSERVARE*pt,https://observare.autonoma.pt,,observare.autonoma.pt,,,,,,0000 0004 5897 203X,0000 0004 5897 203X,,,Lisboa,Portugal,2267057,https://ror.org/01ryrwk91,
,https://ror.org/04871v221,Centro de Estudos de Gestão e Economia Aplicada*pt,active,education,Universidade Católica Portuguesa Centro de Estudos de Gestão e Economia Aplicada*pt,Centro de Estudos de Gestão e Economia Aplicada*pt,CEGEA*pt,https://ciencia.ucp.pt/pt/organisations/centro-de-estudos-de-gest%C3%A3o-e-economia-aplicada,,,,,,,,0000 0004 5928 1118,0000 0004 5928 1118,,,Porto,Portugal,2735943,https://ror.org/03b9snr86,
