html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id,parent_relationships,related_relationships,successor_relationships
,https://ror.org/03tashy42,Instituto de Higiene e Medicina Tropical Biblioteca*pt,active,archive,,Instituto de Higiene e Medicina Tropical Biblioteca*pt,,,https://www.ihmt.unl.pt/biblioteca/,,,,,,,,0000 0004 7420 7899,0000 0004 7420 7899,,,Lisboa,Portugal,2267057,https://ror.org/02xankh89,,
,https://ror.org/027hswj27,Grupo Lusíadas Saúde (Portugal),active,company,,Grupo Lusíadas Saúde;Grupo Lusíadas Saúde (Portugal); Lusiadas Health Group,,,https://www.lusiadas.pt,,lusiadas.pt,,,,,,0000 0004 7664 198X,0000 0004 7664 198X,,,Lisboa,Portugal,2267057,,,
,https://ror.org/054w7b348,SHL Portugal (Portugal),active,company,,SHL Portugal;SHL Portugal (Portugal),,,https://www.shl.pt,,shl.pt,,,,,,0000 0004 0632 9210,0000 0004 0632 9210,,,Lisboa,Portugal,2267057,,,
,https://ror.org/04h27a546,X2 Science Solutions (Portugal),active,company,,X2 Science Solutions (Portugal),,,https://x2ss.com,,x2ss.com,,,,,,0000 0004 6419 027X,0000 0004 6419 027X,,,Lisboa,Portugal,2267057,,,
,https://ror.org/02mqz7148,3M (Portugal),active,company,,3M (Portugal),,,https://www.3m.com.pt,,3m.com.pt,,,,,,0000 0004 6046 7702,0000 0004 6046 7702,,,Lisboa,Portugal,2267057,https://ror.org/00mgss748,,
,https://ror.org/03n9zbw76,Abbott (Portugal),active,company,,Abbott (Portugal),,,https://www.pt.abbott,,pt.abbott,,,,,,0000 0004 0640 2887,0000 0004 0640 2887,,,Amadora,Portugal,2271772,https://ror.org/0052svj16,,
,https://ror.org/03em9qx04,AbbVie (Portugal),active,company,,AbbVie (Portugal),,,https://www.abbvie.pt,,abbvie.pt,,,,,,0000 0004 6416 6923,0000 0004 6416 6923,,,Amadora,Portugal,2271772,https://ror.org/02g5p4n58,,
,https://ror.org/01swxpd40,ADDSOLUTIONS (Portugal),active,company,,ADDSOLUTIONS;ADDSOLUTIONS (Portugal),,,https://www.addsolutions.today,,addsolutions.today,,,,,,0000 0005 0629 9178,0000 0005 0629 9178,,,Lisboa,Portugal,2267057,,,
,https://ror.org/00kf8z465,AdvanceCare Gestão em Saúde (Portugal),active,company,,"AdvanceCare Gestão em Saúde (Portugal); AdvanceCare Healthcare;AdvanceCare Gestão em Saúde, S.A.",,,https://www.advancecare.pt,,advancecare.pt,,,,,,0000 0004 6013 4545,0000 0004 6013 4545,,,Lisboa,Portugal,2267057,,,
,https://ror.org/04sg8wn78,AEROMEC (Portugal),active,company,,AEROMEC;AEROMEC (Portugal),,,https://www.aeromec.pt,https://pt.wikipedia.org/wiki/AEROMEC,aeromec.pt,,,,,,0000 0004 8351 1972,0000 0004 8351 1972,Q97400257,Q97400257,São Domingos de Rana,Portugal,2263352,,,
,https://ror.org/01vjxh080,Affidea Portugal (Portugal),active,company,,Affidea Portugal;Affidea Portugal (Portugal),,,https://affidea.pt,,affidea.pt,,,,,,0000 0004 0500 4326,0000 0004 0500 4326,,,Lisboa,Portugal,2267057,,,
,https://ror.org/05wa8m537,AG da Cunha Ferreira (Portugal),active,company,,AG da Cunha Ferreira (Portugal),,,https://www.agcunhaferreira.pt,,agcunhaferreira.pt,,,,,,0000 0004 0631 1539,0000 0004 0631 1539,,,Lisboa,Portugal,2267057,,,
,https://ror.org/012mhj061,Alcon Portugal Produtos e Equipamentos Oftalmológicos (Portugal),active,company,,Alcon Portugal Produtos e Equipamentos Oftalmológicos (Portugal),,,https://www.alcon.pt,,alcon.pt,,,,,,0000 0004 0367 7551,0000 0004 0367 7551,,,Paço D'Arcos,Portugal,2265326,,,
,https://ror.org/02s5jrq73,Alfasigma Portugal (Portugal),active,company,,Alfasigma Portugal (Portugal),,,https://www.alfasigma.com,,alfasigma.com,,,,,,0000 0004 4662 0467,0000 0004 4662 0467,,,Lisboa,Portugal,2267057,,,
,https://ror.org/02x5r8343,Algardata Sistemas Informáticos (Portugal),active,company,,"Algardata Sistemas Informáticos (Portugal);Algardata Sistemas Informáticos, S.A.",,,https://algardata.com,,algardata.com,,,,,,0000 0005 0840 3661,0000 0005 0840 3661,,,Loulé,Portugal,2266988,,,
,https://ror.org/03hfq8t25,"Almedina, S.A. (Portugal)",active,company,,"Almedina, S.A. (Portugal)",,,https://www.almedina.net,,almedina.net,,,,,,0000 0004 0399 3730,0000 0004 0399 3730,,,Coimbra,Portugal,2740637,,,
,https://ror.org/01cgw9e63,Amkor Technology (Portugal),active,company,,Amkor Technology (Portugal);Amkor Technology Portugal SA,,ATEP*en,https://amkor.com/amkor-technology-portugal/,,,,,,,,0000 0005 1378 1085,0000 0005 1378 1085,,,Vila Do Conde,Portugal,2732649,https://ror.org/04bdj7239,,
,https://ror.org/03qegbj54,Ar Telecom (Portugal),active,company,,Ar Telecom;Ar Telecom (Portugal),,,https://www.artelecom.pt,,artelecom.pt,,,,,,0000 0004 0496 312X,0000 0004 0496 312X,,,Lisboa,Portugal,2267057,,,
,https://ror.org/02b9fyg84,Archeofactu (Portugal),active,company,,Archeofactu;Archeofactu (Portugal),,,https://www.archeofactu.pt,,archeofactu.pt,,,,,,0000 0004 6516 6888,0000 0004 6516 6888,,,Amadora,Portugal,2271772,,,
,https://ror.org/0198h7w65,Areal Editores (Portugal),active,company,,"Areal Editores (Portugal); Areal Publishers;Areal Editores, S.A.",,,https://www.arealeditores.pt,,arealeditores.pt,,,,,,0000 0004 8032 8371,0000 0004 8032 8371,,,Porto,Portugal,2735943,,,
,https://ror.org/058p72x50,Aromáticas Vivas (Portugal),active,company,,Aromáticas Vivas (Portugal),,,https://www.aromaticasvivas.com,,aromaticasvivas.com,,,,,,0000 0005 1081 1314,0000 0005 1081 1314,,,Viana do Castelo,Portugal,2732772,,,
,https://ror.org/03w7bfr91,Arouconstrói Engenharia e Construções (Portugal),active,company,,"Arouconstrói Engenharia e Construções (Portugal);Arouconstrói Engenharia e Construções, S.A.",,,https://www.arouconstroi.com,,arouconstroi.com,,,,,,0000 0005 1081 1322,0000 0005 1081 1322,,,Chave,Portugal,8010733,,,
,https://ror.org/00rv19195,Arsenal do Alfeite (Portugal),active,company,,Arsenal do Alfeite;Arsenal do Alfeite (Portugal); Armory of the Alfeite,,,https://www.arsenal-alfeite.pt,,arsenal-alfeite.pt,,,,,,0000 0004 0548 8033,0000 0004 0548 8033,,,Almada,Portugal,2271961,,,
,https://ror.org/053r7b732,ASCENZA AGRO (Portugal),active,company,,"ASCENZA AGRO (Portugal);ASCENZA AGRO, S.A.;ASCENZA",,,https://ascenza.pt,,ascenza.pt,,,,,,0000 0004 5996 578X,0000 0004 5996 578X,,,Torres Vedras,Portugal,2262581,,,
,https://ror.org/02mwqj658,Associação Centro de Medicina P5 (Portugal),active,company,,Associação Centro de Medicina P5;Associação Centro de Medicina P5 (Portugal); P5 Medical Centre,,,https://www.p5.pt,,p5.pt,,,,,,0000 0005 0953 8912,0000 0005 0953 8912,,,Braga,Portugal,2742032,,,
