html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id,NID,_decision,_reason,_matched_keyword
,https://ror.org/04gbpzm36,Albanian Society for Trauma and Emergency Surgery*en,active,other,,Albanian Society for Trauma and Emergency Surgery*en,,https://astes.org.al,,astes.org.al,,,,,,,,,,Tirana,Albania,3183875,,keep,keyword:keep,society
,https://ror.org/01ypm9g92,Association for Vascular Access*en,active,other,,Association for Vascular Access*en,,https://www.avainfo.org,,avainfo.org,,,,,,,,,,Herriman,United States,5775782,,keep,keyword:keep,association
,https://ror.org/044y7vy85,American Association of Swine Veterinarians*en,active,other,,American Association of Swine Veterinarians*en,,https://www.aasv.org,,aasv.org,,,,,,,,,,Perry,United States,5203317,,keep,keyword:keep,association
,https://ror.org/04gqhk669,Turkish Federation of the Blind Person*en,active,other,Türkiye Körler Federasyonu*tr;Turkiye Korler Federasyonu*tr;Engelliler Federasyonu*tr,Turkish Federation of the Blind Person*en,,http://www.korlerfederasyonu.org.tr,,korlerfederasyonu.org.tr,,,,,,,,,,Cankaya,Türkiye,6955677,,keep,keyword:keep,federasyonu
,https://ror.org/018q1a468,Asosiasi Pendidikan Bahasa Asing Pascasarjana Indonesia*id,active,other,,Asosiasi Pendidikan Bahasa Asing Pascasarjana Indonesia*id,APBAPI,https://apbapi.or.id,,apbapi.or.id,,,,,,,,,,Singaraja,Indonesia,1626932,,keep,keyword:keep,asosiasi
,https://ror.org/050hzvt47,Société Béninoise de Pathologie Infectieuse et Tropicale*fr,active,other,Societe Beninoise de Pathologie Infectieuse et Tropicale*fr,Société Béninoise de Pathologie Infectieuse et Tropicale*fr,SOBÉPIT;SOBEPIT,https://infectiologiebenin.bj,,infectiologiebenin.bj,,,,,,,,,,Parakou,Benin,2392204,,keep,keyword:keep,societe
,https://ror.org/03ymg6y17,"National Association of Teachers of Singing, Inc*en",active,other,National Association of Teachers of Singing*en,"National Association of Teachers of Singing, Inc*en",,https://www.nats.org,,nats.org,,,,,,,,,,Jacksonville,United States,4160021,,keep,keyword:keep,association
,https://ror.org/009t7ze98,The Polynesian Society*en,active,other,Polynesian Society*en,The Polynesian Society*en,,http://www.thepolynesiansociety.org,,thepolynesiansociety.org,,,,,,,,,,Auckland,New Zealand,2187404,,keep,keyword:keep,society
,https://ror.org/01q3zq576,Macedonian Marketing Association Marketing – Skopje*en,active,other,,Macedonian Marketing Association Marketing – Skopje*en,,https://mzmarketing.org,,mzmarketing.org,,,,,,,,,,Skopje,North Macedonia,785842,,keep,keyword:keep,association
,https://ror.org/036qa9b91,Asociación Española de Lingüística Aplicada*es,active,other,Asociacion Espanola de Linguistica Aplicada*ca,Asociación Española de Lingüística Aplicada*es,AESLA,http://www.aesla.org.es,,aesla.org.es,,,,,,,,,,Murcia,Spain,2513416,,keep,keyword:keep,asociacion
,https://ror.org/006j5g459,Hrvatsko Društvo za Medicinsku Informatiku*hr,active,other,Hrvatsko Drustvo za Medicinsku Informatiku*hr,Hrvatsko Društvo za Medicinsku Informatiku*hr,HDMI,https://www.hdmi.hr,,hdmi.hr,,,,,,,,,,Zagreb,Croatia,3186886,,keep,keyword:keep,drustvo
,https://ror.org/00x298z81,Bulgarischer Deutschlehrerverband*de,active,other,Bulgarian Association of German Teachers*en,Bulgarischer Deutschlehrerverband*de,,http://bdv-bg.eu,,bdv-bg.eu,,,,,,,,,,Sofia,Bulgaria,727011,,keep,keyword:keep,association
,https://ror.org/01a27e464,Asociacion Castellano-Manchega de Sociologia (ACMS)*es,active,other,,Asociacion Castellano-Manchega de Sociologia (ACMS)*es,,https://acms.es,,acms.es,,,,,,,,,,Madrid,Spain,3117735,,keep,keyword:keep,asociacion
,https://ror.org/016ne4z34,Swiss Chemical Society*en,active,other,,Swiss Chemical Society*en,,https://www.scg.ch,,scg.ch,,,,,,,,,,Bern,Switzerland,2661552,,keep,keyword:keep,society
,https://ror.org/0438sjj03,Cihannuma Dayanisma ve Isbirligi Dernegi*tr,active,other,Cihannüma Dayanışma ve İşbirliği Derneği*tr,Cihannuma Dayanisma ve Isbirligi Dernegi*tr,,https://www.cihannuma.org,,cihannuma.org,,,,,,,,,,Altindag,Türkiye,323933,,keep,keyword:keep,dernegi
,https://ror.org/049t06j55,Asociatia de Biosiguranta si Biosecuritate din Republica Moldova*ro,active,other,Moldovan Association for Biosafety and Biosecurity*en,Asociatia de Biosiguranta si Biosecuritate din Republica Moldova*ro,,https://bba.md,,bba.md,,,,,,,,,,Chisinau,"Moldova, Republic of",618426,,keep,keyword:keep,association
,https://ror.org/03wt7bz91,Perkumpulan Prodi Sejarah Se-Indonesia*ms,active,other,,Perkumpulan Prodi Sejarah Se-Indonesia*ms,PPSI,https://ppsi.or.id,,ppsi.or.id,,,,,,,,,,Depok,Indonesia,1645524,,keep,keyword:keep,perkumpulan
,https://ror.org/04y06xw10,Asociacion de Endodoncistas del Azuay*es,active,other,,Asociacion de Endodoncistas del Azuay*es,,https://www.asoendoazuay.com,,asoendoazuay.com,,,,,,,,,,Cuenca,Ecuador,3658666,,keep,keyword:keep,asociacion
,https://ror.org/02h5j6753,Asociación Mexicana de Lingüística Aplicada*es,active,other,Mexican Association of Applied Linguistics*en;Asociacion Mexicana de Linguistica Aplicada*ca,Asociación Mexicana de Lingüística Aplicada*es,AMLA,https://amla.org.mx,,amla.org.mx,,,,,,,,,,Ciudad de Mexico,Mexico,3530597,,keep,keyword:keep,association
,https://ror.org/050fvfe29,Society of Rheology*en,active,other,,Society of Rheology*en,,https://www.societyofrheology.org,,societyofrheology.org,,,,,,,,,,Melville,United States,5126555,,keep,keyword:keep,society
,https://ror.org/05tbwvf65,Korean Neurosurgical Society*en,active,other,,Korean Neurosurgical Society*en,,http://kns-neurosurgery.or.kr,,kns-neurosurgery.or.kr,,,,,,,,,,Seoul,"Korea, Republic of",1835848,,keep,keyword:keep,society
,https://ror.org/016sfje56,Korean Pain Society*en,active,other,,Korean Pain Society*en,,https://www.painfree.or.kr,,painfree.or.kr,,,,,,,,,,Seoul,"Korea, Republic of",1835848,,keep,keyword:keep,society
,https://ror.org/01ytfc490,Global Power and Propulsion Society*en,active,other,,Global Power and Propulsion Society*en,,https://www.gpps.global,,gpps.global,,,,,,,,,,Zurich,Switzerland,2657896,,keep,keyword:keep,society
,https://ror.org/0334v4d40,Albanian Sports Science Association*en,active,other,,Albanian Sports Science Association*en,,https://www.assa.al,,assa.al,,,,,,,,,,Tirane,Albania,3183875,,keep,keyword:keep,association
,https://ror.org/05ddcp808,Société des naturalistes luxembourgeois*fr,active,other,Societe des naturalistes luxembourgeois*fr,Société des naturalistes luxembourgeois*fr,,https://www.snl.lu,,snl.lu,,,,,,,,,,Luxembourg,Luxembourg,2960316,,keep,keyword:keep,societe
,https://ror.org/04t8n6r13,Associação de Professores de Português*pt,active,other,Associacao de Professores de Portugues*fr,Associação de Professores de Português*pt,APP,https://www.app.pt,,app.pt,,,,,,,,,,Lisboa,Portugal,2267057,,keep,keyword:keep,associacao
,https://ror.org/02mmhjt53,National Home Infusion Association*en,active,other,,National Home Infusion Association*en,NHIA,https://www.nhia.org,,nhia.org,,,,,,,,,,Alexandria,United States,4744091,,keep,keyword:keep,association
,https://ror.org/03kvrkv95,The Association for Plant Taxonomy*en,active,other,Association for Plant Taxonomy*en,The Association for Plant Taxonomy*en,APT,https://phytotaxonomy.in,,phytotaxonomy.in,,,,,,,,,,Dehradun,India,1273313,,keep,keyword:keep,association
,https://ror.org/01dnjr052,Sociedade Brasileira de Pneumologia e Tisiologia*pt,active,other,,Sociedade Brasileira de Pneumologia e Tisiologia*pt,,https://www.sbpt.org.br,,sbpt.org.br,,,,,,,,,,Brasilia,Brazil,3469058,,keep,keyword:keep,sociedade
,https://ror.org/016tx5y12,Udruženje inženjera Srbije za koroziju i zaštitu materijala*sr,active,other,Udruzenje inzenjera Srbije za koroziju i zastitu materijala*sr;Serbian Society of Corrosion and Materials Protection*en,Udruženje inženjera Srbije za koroziju i zaštitu materijala*sr,,https://uiskozam.rs,,uiskozam.rs,,,,,,,,,,Belgrade,Serbia,792680,,keep,keyword:keep,udruzenje
,https://ror.org/023q8t028,Association for Christian Theological Education in Africa*en,active,other,Association Chrétienne de Théologie et d’Éducation en Afrique*fr;Associação Cristã de Teologia e Educação em África*pt,Association for Christian Theological Education in Africa*en,,http://acteaweb.org,,acteaweb.org,,,,,,,,,,Nairobi,Kenya,184745,,keep,keyword:keep,association
,https://ror.org/01ksfmw73,The Korean Society of Food Science and Nutrition*en,active,other,Korean Society of Food Science and Nutrition*en,The Korean Society of Food Science and Nutrition*en,,https://www.kfn.or.kr,,kfn.or.kr,,,,,,,,,,Busanjin-gu,"Korea, Republic of",1979164,,keep,keyword:keep,society
,https://ror.org/0499ybs81,STEMM Global Scientific Society*en,active,other,,STEMM Global Scientific Society*en,,https://stemm.global,,stemm.global,,,,,,,,,,Oxford,United Kingdom,2640729,,keep,keyword:keep,society
,https://ror.org/03m0thy30,Kotitalousopettajien liitto ry*fi,active,other,Finnish Association of Home Economics Teachers*en,Kotitalousopettajien liitto ry*fi,,http://www.kotitalousopettajat.fi,,kotitalousopettajat.fi,,,,,,,,,,Helsinki,Finland,658225,,keep,keyword:keep,association
,https://ror.org/00g37h795,Udruzenje za modernu historiju*sr,active,other,Association for Modern History*en,Udruzenje za modernu historiju*sr,,https://umhis.ba,,umhis.ba,,,,,,,,,,Sarajevo,Bosnia and Herzegovina,3191281,,keep,keyword:keep,association
,https://ror.org/00w6e9k27,Indian Science News Association*en,active,other,,Indian Science News Association*en,,http://www.scienceandculture-isna.org,,scienceandculture-isna.org,,,,,,,,,,Kolkata,India,1275004,,keep,keyword:keep,association
,https://ror.org/05a02rg85,Asosiasi Asesmen Pendidikan (AAP)*id,active,other,,Asosiasi Asesmen Pendidikan (AAP)*id,,https://aapbk.org,,aapbk.org,,,,,,,,,,"Banjaragung, Kec. Cipocok Jaya, Kota Serang",Indonesia,1627549,,keep,keyword:keep,asosiasi
