ror_id,field,change
https://ror.org/00hy3gq97,external_ids,"{insert: [(0, {'all': ['501100015550'], 'preferred': '501100015550', 'type': 'fundref'})]}"
https://ror.org/00h6p6a20,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/00h6p6a20,external_ids,"{insert: [(0, {'all': ['501100019236'], 'preferred': '501100019236', 'type': 'fundref'})]}"
https://ror.org/008y4p075,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/008y4p075,external_ids,"{0: {'all': {insert: [(1, '501100009764')]}, 'preferred': ['501100014684', '501100009764']}}"
https://ror.org/055a87x75,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/055a87x75,external_ids,"{insert: [(0, {'all': ['501100019973'], 'preferred': '501100019973', 'type': 'fundref'})]}"
https://ror.org/05vt9qd57,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/05vt9qd57,external_ids,"{0: {'all': {insert: [(5, '100018782')]}}}"
https://ror.org/008g9ns82,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/008g9ns82,external_ids,"{insert: [(0, {'all': ['100022866'], 'preferred': '100022866', 'type': 'fundref'})]}"
https://ror.org/049c8eh51,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/049c8eh51,external_ids,"{0: {'all': {insert: [(1, '100015825')]}}}"
https://ror.org/020f3ap87,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/020f3ap87,external_ids,"{0: {'all': {insert: [(4, '100009774'), (5, '100011413'), (6, '100011642')]}}}"
https://ror.org/01788sq40,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/01788sq40,external_ids,"{insert: [(0, {'all': ['100014425'], 'preferred': '100014425', 'type': 'fundref'})]}"
https://ror.org/05j6fvn87,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/05j6fvn87,external_ids,"{0: {'all': {insert: [(1, '501100010707')]}}}"
https://ror.org/04jzmdh37,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/04jzmdh37,external_ids,"{0: {'all': {insert: [(1, '501100010436')]}}}"
https://ror.org/00yncr324,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/00yncr324,external_ids,"{0: {'all': {insert: [(1, '501100021809'), (2, '501100022493'), (3, '501100022533')]}}}"
https://ror.org/04rswrd78,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/04rswrd78,external_ids,"{0: {'all': {insert: [(6, '100010953'), (7, '100010954'), (8, '100013638'), (9, '100015389'), (10, '100016521'), (11, '100017874')]}}}"
https://ror.org/015h0qg34,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/015h0qg34,external_ids,"{0: {'all': {insert: [(1, '501100016232')]}, 'preferred': ['501100016231', '501100016232']}}"
